Date,last_date,Firm,sample_size,pv_lnp,pv_alp,pv_grn,pv_oth,tpp_alp,tpp_lnp
6-29 Aug 2024,29 Aug 2024,Wolf,2024,40,28,14,18,48,52
4-5 Aug 2024,5 Aug 2024,Redbridge,1514,40,31,12,17,50,50
14 Jul 2024,14 Jul 2024,Resolve,1000,27,37,15,21,50,50
6-7 Jun 2024,7 Jun 2024,Redbridge,1000,35,38,14,13,55,45
18-19 May 2024,19 May 2024,Resolve,1100,28,37,13,22,50,50
23-24 Mar 2024,24 Mar 2024,Resolve,1100,33,35,13,19,54.6,45.4
14-20 Mar 2024,20 Mar 2024,Redbridge,1559,36,38,10,16,54,46
2-12 Dec 2023,12 Dec 2023,Redbridge,2000,36,37,13,14,55.9,44.1
2-3 Dec 2023,3 Dec 2023,Resolve,1100,31,37,11,20,56.5,43.5
1 Sep - 1 Oct 2023,1 Oct 2023,Resolve,1100,32,39,12,17,57.5,42.5
31 Aug - 14 Sep 2023,14 Sep 2023,Redbridge,3001,34,37,13,16,56.5,43.5
1 Jul - 1 Aug 2023,1 Aug 2023,Resolve,1100,28,39,13,20,60,40
19-20 Jul 2023,20 Jul 2023,Morgan,1046,33,35.5,12.5,19,53,47
1 May - 14 Jun 2023,14 Jun 2023,Resolve,1003,26,41,15,18,62.5,37.5
17-22 May 2023,22 May 2023,Morgan,2095,28.5,42,12.5,17,61.5,38.5
19-22 Apr 2023,22 Apr 2023,Resolve,1609,30,42,10,17,60.5,39.5 
15-18 Feb 2023,18 Feb 2023,Resolve,825,30,41,13,17,60.9,39.1
